,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Unnamed: 11,Date Of Registration
2609,20_07_2609,Private Car,LANDROVER,SERIES 3 SWB,Petrol,2399,STATION WAGGON,D,-,5,"> 150,000 and <= 300,000",1981.0,,2020-07
2610,20_07_2610,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2611,20_07_2611,Private Car,KIA,CERATO K3 1.6 MPI PREMIUM,Petrol,1591,SALOON,A,-,4,"<= 150,000",2020.0,,2020-07
2612,20_07_2612,Private Car,KIA,MORNING SPORT A/T,Petrol,1248,SALOON,A,-,4,"<= 150,000",2020.0,,2020-07
2613,20_07_2613,Private Car,B.M.W.,X3 XDRIVE30IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020.0,,2020-07
2614,20_07_2614,Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019.0,,2020-07
2615,20_07_2615,Private Car,B.M.W.,Z4 SDRIVE20IA M SPORT EDITION (G29),Petrol,1998,CONVERTIBLE,A,-,1,"> 300,000 and <= 500,000",2019.0,,2020-07
2616,20_07_2616,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2617,20_07_2617,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020.0,,2020-07
2618,20_07_2618,Private Car,TOYOTA,TANK,Petrol,996,STATION WAGGON,C2,-,4,"> 150,000 and <= 300,000",2018.0,,2020-07
2619,20_07_2619,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,7,"> 150,000 and <= 300,000",2020.0,,2020-07
2620,20_07_2620,Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020.0,,2020-07
2621,20_07_2621,Private Car,HONDA,ODYSSEY,Petrol,2356,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2019.0,,2020-07
2622,20_07_2622,Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER M SPORT EDITION (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 500,000",2020.0,,2020-07
2623,20_07_2623,Private Car,LEXUS,RX300,Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019.0,,2020-07
2624,20_07_2624,Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2625,20_07_2625,Private Car,HONDA,FREED G JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2013.0,,2020-07
2626,20_07_2626,Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2627,20_07_2627,Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020.0,,2020-07
2628,20_07_2628,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2629,20_07_2629,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2630,20_07_2630,Private Car,TOYOTA,SIENTA HYBRID,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2016.0,,2020-07
2631,20_07_2631,Private Car,LEXUS,UX200,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020.0,,2020-07
2632,20_07_2632,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2633,20_07_2633,Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C2,-,6,"<= 150,000",2012.0,,2020-07
2634,20_07_2634,Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019.0,,2020-07
2635,20_07_2635,Private Car,HONDA,STEPWGN G HONDA SENSING,Petrol,1496,STATION WAGGON,C2,-,7,"> 150,000 and <= 300,000",2018.0,,2020-07
2636,20_07_2636,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2637,20_07_2637,Private Car,MERCEDES BENZ,MERCEDES-AMG GLC43 4MATIC COUPE FL(C253),Petrol,2996,STATION WAGGON,A,-,4,"> 500,000",2020.0,,2020-07
2638,20_07_2638,Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020.0,,2020-07
2639,20_07_2639,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2640,20_07_2640,Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020.0,,2020-07
